--- ordens_servico ---
Field: id | Type: int(11) | Null: NO | Default: NULL | Extra: auto_increment
Field: descricao | Type: text | Null: NO | Default: NULL | Extra: 
Field: tipo | Type: enum('Manuten????o','Patrim??nio','Outros') | Null: NO | Default: NULL | Extra: 
Field: status | Type: enum('Em Aberto','Aguardando Aprovação','Aceita','Arquivada') | Null: NO | Default: Em Aberto | Extra: 
Field: solicitante_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: responsavel_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: criado_em | Type: datetime | Null: YES | Default: current_timestamp() | Extra: 
Field: atualizado_em | Type: datetime | Null: YES | Default: current_timestamp() | Extra: on update current_timestamp()

--- os_historico ---
Field: id | Type: int(11) | Null: NO | Default: NULL | Extra: auto_increment
Field: os_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: status | Type: varchar(100) | Null: NO | Default: NULL | Extra: 
Field: origem_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: destino_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: descricao | Type: text | Null: YES | Default: NULL | Extra: 
Field: criado_em | Type: datetime | Null: YES | Default: current_timestamp() | Extra: 

--- os_anexos ---
Field: id | Type: int(11) | Null: NO | Default: NULL | Extra: auto_increment
Field: os_id | Type: int(11) | Null: NO | Default: NULL | Extra: 
Field: nome_arquivo | Type: varchar(255) | Null: NO | Default: NULL | Extra: 
Field: caminho | Type: varchar(500) | Null: NO | Default: NULL | Extra: 
Field: criado_em | Type: datetime | Null: YES | Default: current_timestamp() | Extra: 

